City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket,Date
Amaravati,81.4,124.5,1.44,20.5,12.08,10.72,0.12,15.24,127.09,184.0,Moderate,2017-11-25
Amaravati,78.32,129.06,1.26,26.0,14.85,10.28,0.14,26.96,117.44,197.0,Moderate,2017-11-26
Amaravati,88.76,135.32,6.6,30.85,21.77,12.91,0.11,33.59,111.81,198.0,Moderate,2017-11-27
Amaravati,64.18,104.09,2.56,28.07,17.01,11.42,0.09,19.0,138.18,188.0,Moderate,2017-11-28
Amaravati,72.47,114.84,5.23,23.2,16.59,12.25,0.16,10.55,109.74,173.0,Moderate,2017-11-29
Amaravati,69.8,114.86,4.69,20.17,14.54,10.95,0.12,14.07,118.09,165.0,Moderate,2017-11-30
Amaravati,73.96,113.56,4.58,19.29,13.97,10.95,0.1,13.9,123.8,191.0,Moderate,2017-12-01
Amaravati,89.9,140.2,7.71,26.19,19.87,13.12,0.1,19.37,128.73,191.0,Moderate,2017-12-02
Amaravati,87.14,130.52,0.97,21.31,12.12,14.36,0.15,11.41,114.8,227.0,Poor,2017-12-03
Amaravati,84.64,125.0,4.02,26.98,17.58,14.41,0.18,9.84,112.41,168.0,Moderate,2017-12-04
Amaravati,88.36,121.77,3.7,20.23,13.75,13.72,0.12,14.02,117.93,198.0,Moderate,2017-12-05
Amaravati,96.83,139.36,1.6,25.65,14.99,15.12,0.11,16.54,117.21,201.0,Poor,2017-12-06
Amaravati,117.46,181.64,4.26,41.1,25.32,17.34,0.13,28.79,94.63,252.0,Poor,2017-12-07
Amaravati,122.88,208.86,5.56,54.87,33.71,17.96,0.27,22.97,68.6,310.0,Very Poor,2017-12-08
Amaravati,74.28,141.22,6.1,44.97,28.88,15.73,0.09,21.9,60.62,196.0,Moderate,2017-12-09
Amaravati,50.32,102.77,1.73,33.85,19.41,12.56,0.1,13.65,68.15,132.0,Moderate,2017-12-10
Amaravati,58.47,115.27,4.93,41.64,26.15,15.2,0.16,18.37,73.75,147.0,Moderate,2017-12-11
Amaravati,89.35,131.48,7.97,42.1,28.88,21.24,0.24,7.42,44.67,179.0,Moderate,2017-12-12
Amaravati,64.42,99.74,7.2,34.78,24.36,17.63,0.15,5.81,50.16,145.0,Moderate,2017-12-13
Amaravati,69.4,98.94,5.81,29.97,20.67,19.34,0.14,5.8,55.0,115.0,Moderate,2017-12-14
Amaravati,71.07,109.65,4.19,25.0,16.7,16.0,0.1,8.33,79.04,140.0,Moderate,2017-12-15
Amaravati,79.76,129.81,8.77,40.92,28.84,15.56,0.17,8.51,73.17,156.0,Moderate,2017-12-16
Amaravati,108.06,167.62,7.29,47.05,30.94,18.52,0.08,16.05,70.74,225.0,Poor,2017-12-17
Amaravati,100.75,172.04,7.63,53.94,33.45,18.49,0.11,14.05,59.2,251.0,Poor,2017-12-18
Amaravati,106.25,171.56,2.74,43.09,21.78,19.66,0.13,15.45,66.9,228.0,Poor,2017-12-19
Amaravati,83.79,141.83,6.77,47.47,30.74,17.37,0.3,13.35,77.54,223.0,Poor,2017-12-20
Amaravati,79.98,147.74,7.02,49.55,32.07,17.28,0.14,13.58,79.71,170.0,Moderate,2017-12-21
Amaravati,76.27,152.59,7.51,56.0,35.9,19.53,0.15,29.88,56.97,165.0,Moderate,2017-12-22
Amaravati,86.5,147.95,5.24,42.0,26.6,20.78,0.15,11.85,73.09,159.0,Moderate,2017-12-23
Amaravati,100.62,167.75,3.75,47.68,28.41,23.68,0.22,10.85,62.78,232.0,Poor,2017-12-24
Amaravati,110.73,171.47,1.69,31.06,17.89,21.66,0.1,12.23,76.07,242.0,Poor,2017-12-25
Amaravati,107.7,170.21,4.97,43.54,27.2,22.52,0.17,18.07,64.6,274.0,Poor,2017-12-26
Amaravati,104.81,192.2,9.59,63.48,41.57,21.06,0.23,17.01,63.87,259.0,Poor,2017-12-27
Amaravati,89.95,175.16,10.95,64.53,43.23,18.87,0.27,15.52,62.49,225.0,Poor,2017-12-28
Amaravati,74.58,138.6,6.14,46.65,29.81,18.2,0.17,9.47,67.11,177.0,Moderate,2017-12-29
Amaravati,56.68,109.33,4.6,33.26,21.44,16.86,0.1,8.26,66.91,120.0,Moderate,2017-12-30
Amaravati,61.03,131.62,5.51,39.5,25.49,17.82,0.08,11.45,61.91,120.0,Moderate,2017-12-31
Amaravati,59.03,108.83,3.45,23.36,15.23,18.03,0.09,26.05,87.55,120.0,Moderate,2018-01-01
Amaravati,61.88,109.82,3.87,23.14,15.45,19.57,0.09,12.81,81.38,132.0,Moderate,2018-01-02
Amaravati,71.57,137.48,5.01,39.99,25.36,25.61,0.09,16.82,80.3,136.0,Moderate,2018-01-03
Amaravati,92.44,174.75,5.84,53.79,33.36,19.45,0.11,16.93,71.09,182.0,Moderate,2018-01-04
Amaravati,92.9,162.69,6.38,56.39,35.19,21.02,0.08,23.11,68.79,222.0,Poor,2018-01-05
Amaravati,85.15,151.97,11.05,61.55,41.72,18.71,0.07,11.86,90.8,230.0,Poor,2018-01-06
Amaravati,81.47,145.68,6.45,46.9,30.18,20.18,0.07,9.63,96.49,224.0,Poor,2018-01-07
Amaravati,81.58,132.66,3.97,34.93,21.81,21.59,0.09,12.81,118.91,217.0,Poor,2018-01-08
Amaravati,79.56,146.64,4.44,37.58,23.6,17.71,0.05,17.77,137.61,230.0,Poor,2018-01-09
Amaravati,87.43,155.95,3.9,37.31,23.02,22.35,0.1,13.4,121.72,229.0,Poor,2018-01-10
Amaravati,87.33,153.97,3.95,42.52,25.82,23.66,0.08,35.39,106.17,229.0,Poor,2018-01-11
Amaravati,110.39,182.54,4.54,52.24,31.49,24.74,0.04,36.01,82.2,235.0,Poor,2018-01-12
Amaravati,77.51,125.01,3.85,36.41,22.49,20.06,0.05,14.36,72.16,214.0,Poor,2018-01-13
